Label,id,node
George E. Ohr|Biloxi Art Pottery,3,3
Edward Marshall Boehm,4,4
Edgar Walter,5,5
F Ziegler,6,6
Mary Abastenia St. Leger Eberle,7,7
Chester Beach,8,8
George Bellows,9,9
Joseph Maxwell Miller,10,10
Paul Dougherty,11,11
Eugene Speicher,12,12
Edward J. Steichen,13,13
Paul Manship,14,14
Jonas Lie,15,15
Mahonri Mackintosh Young,16,16
Maurice Sterne,17,17
Gerald Thayer,18,18
Rockwell Kent,19,19
Albert Laessle,20,20
Charles Shepard Chapman,21,21
Harry Dickinson Thrasher,22,22
Malvina Cornell Hoffman,23,23
Julio Kilenyi,24,24
Margaret Hoard,25,25
John Henry Bradley Storrs,26,26
Elie Nadelman,27,27
Josef Albers,28,28
Romare Bearden,29,29
Aristocrat Embroidery,30,30
Richard Hunt,31,31
Theodoros Stamos,32,32
Anni Albers,33,33
Edward Avedisian,34,34
Conrad Marca-Relli,35,35
Wilhelm Hunt Diederich,36,36
Fair-Tex Mills,37,37
Jasco Fabrics,38,38
Will and Eileen Richardson,39,39
Amicale Industries,40,40
Shamokin Woolen Mills,41,41
Balfour Mills,42,42
Saul Goldman|Borg Fabrics,43,43
Preston Dickinson,44,44
Hal Reed,45,45
Mark Rothko,46,46
Leon Polk Smith,47,47
Worden Day,48,48
Ward Lockwood,49,49
Man Ray,50,50
Peer Smed,51,51
Frank Stella,52,52
"Tom Allen, Jr.",53,53
Albert Christ-Janer,54,54
Calister Thomas,55,55
Beverly Nusom,56,56
Roger Baker,57,57
Peter Blume,58,58
Kenneth Callahan,59,59
Edward Melcarth,60,60
Van Day Truex,61,61
Leonid,62,62
Walter Stuempfig,63,63
Richard Diebenkorn,64,64
David Smith,65,65
Ellsworth Kelly,66,66
Herbert Gentry,67,67
William Baziotes,68,68
Moïse Kisling|Jacques Lipchitz,69,69
Philip Guston,70,70
Hale Woodruff,71,71
Ely Jacques Kahn,72,72
Thomas Sills,73,73
James Whitney Fosburgh,74,74
Dorothy Liebes,75,75
Steuben|Frederick Carder,76,76
Jack Lenor Larsen,77,77
Raymond Parker,78,78
Carlos Osorio,79,79
Barbara Chase-Riboud,80,80
Hobson Pittman,81,81
Friedel Dzubas,82,82
Louise Bourgeois,83,83
Esteban Vicente,84,84
Larry Poons,85,85
Gene Davis,86,86
Don Wight,87,87
Wendy Klein,88,88
Yoshiko Kogo,89,89
Countess Elsie Lee Gozzi|Fortuny,90,90
Michael Hurson,91,91
Gandy Brodie,92,92
Sally Hazelet Drummond,93,93
Christopher Wilmarth,94,94
Isamu Noguchi,95,95
Chunghi Choo,96,96
Sylvia Carewe,97,97
Ilya Bolotowsky,98,98
Guy Pène du Bois,99,99
Reginald Marsh,100,100
Jan Matulka,101,101
Edward Hopper,102,102
Charles Ephraim Burchfield,103,103
Charles Demuth,104,104
Ernest Fiene,105,105
Peggy Bacon,106,106
Pavel Tchelitchew,107,107
Dan Flavin,108,108
Jacques Lipchitz,109,109
Kenneth Noland,110,110
Dan Christensen,111,111
Ludwig Sander,112,112
Raoul Hague,113,113
Palmer Hayden,114,114
James Prestini,115,115
Theodore Hallman,116,116
Jack Whitten,117,117
Jules Olitski,118,118
Barnett Newman,119,119
James Brooks,120,120
Adolph Gottlieb,121,121
Willem de Kooning,122,122
Alex Katz,123,123
Milton Avery,124,124
Roland R. Correia,125,125
Gilbert M. Fletcher,126,126
Maxwell Hendler,127,127
Max Weber,128,128
Richard Hennessy,129,129
