Label,Label2,id,node
George E. Ohr|Biloxi Art Pottery,1894,3,3
Edward Marshall Boehm,1940,4,4
Edward Marshall Boehm,1940,4,4
Edward Marshall Boehm,1940,4,4
Edward Marshall Boehm,1940,4,4
Edward Marshall Boehm,1950,4,4
Edward Marshall Boehm,1950,4,4
Edward Marshall Boehm,1956,4,4
Edward Marshall Boehm,1956,4,4
Edgar Walter,1902,5,5
F Ziegler,1909,6,6
Mary Abastenia St. Leger Eberle,1906,7,7
Chester Beach,1909,8,8
Chester Beach,1909,8,8
Chester Beach,1937,8,8
Chester Beach,1937,8,8
Chester Beach,1913,8,8
George Bellows,1908,9,9
George Bellows,1916,9,9
George Bellows,1910,9,9
George Bellows,1922,9,9
George Bellows,1923,9,9
George Bellows,1917,9,9
George Bellows,1918,9,9
George Bellows,1918,9,9
George Bellows,1919,9,9
George Bellows,1919,9,9
George Bellows,1916,9,9
George Bellows,1916,9,9
George Bellows,1922,9,9
George Bellows,1922,9,9
George Bellows,1914,9,9
George Bellows,1919,9,9
George Bellows,1906,9,9
Joseph Maxwell Miller,1911,10,10
Paul Dougherty,1910,11,11
Paul Dougherty,1916,11,11
Paul Dougherty,1916,11,11
Eugene Speicher,1907,12,12
Eugene Speicher,1913,12,12
Eugene Speicher,1911,12,12
Eugene Speicher,1883,12,12
Eugene Speicher,1883,12,12
Eugene Speicher,1883,12,12
Eugene Speicher,1883,12,12
Eugene Speicher,1927,12,12
Eugene Speicher,1933,12,12
Eugene Speicher,1944,12,12
Eugene Speicher,1953,12,12
Eugene Speicher,1929,12,12
Eugene Speicher,1945,12,12
Eugene Speicher,1937,12,12
Eugene Speicher,1930,12,12
Eugene Speicher,1935,12,12
Eugene Speicher,1953,12,12
Eugene Speicher,1940,12,12
Eugene Speicher,1935,12,12
Eugene Speicher,1930,12,12
Eugene Speicher,1930,12,12
Edward J. Steichen,1910,13,13
Paul Manship,1914,14,14
Paul Manship,1909,14,14
Paul Manship,1914,14,14
Paul Manship,1918,14,14
Paul Manship,1912,14,14
Paul Manship,1930,14,14
Paul Manship,1932,14,14
Paul Manship,1915,14,14
Paul Manship,1916,14,14
Paul Manship,1916,14,14
Paul Manship,1925,14,14
Paul Manship,1915,14,14
Paul Manship,1926,14,14
Paul Manship,1927,14,14
Paul Manship,1930,14,14
Paul Manship,1930,14,14
Paul Manship,1914,14,14
Paul Manship,1914,14,14
Paul Manship,1913,14,14
Paul Manship,1923,14,14
Paul Manship,1916,14,14
Paul Manship,1927,14,14
Paul Manship,1922,14,14
Paul Manship,1904,14,14
Jonas Lie,1913,15,15
Mahonri Mackintosh Young,1904,16,16
Mahonri Mackintosh Young,1915,16,16
Mahonri Mackintosh Young,1923,16,16
Mahonri Mackintosh Young,1925,16,16
Mahonri Mackintosh Young,1933,16,16
Mahonri Mackintosh Young,1945,16,16
Mahonri Mackintosh Young,1903,16,16
Maurice Sterne,1913,17,17
Maurice Sterne,1914,17,17
Maurice Sterne,1913,17,17
Maurice Sterne,1920,17,17
Maurice Sterne,1920,17,17
Maurice Sterne,1950,17,17
Maurice Sterne,1910,17,17
Maurice Sterne,1912,17,17
Maurice Sterne,1924,17,17
Maurice Sterne,1918,17,17
Maurice Sterne,1925,17,17
Maurice Sterne,1912,17,17
Maurice Sterne,1922,17,17
Gerald Thayer,1907,18,18
Rockwell Kent,1907,19,19
Rockwell Kent,1909,19,19
Albert Laessle,1905,20,20
Albert Laessle,1934,20,20
Charles Shepard Chapman,1917,21,21
Harry Dickinson Thrasher,1909,22,22
Malvina Cornell Hoffman,1918,23,23
Malvina Cornell Hoffman,1946,23,23
Malvina Cornell Hoffman,1918,23,23
Malvina Cornell Hoffman,1931,23,23
Malvina Cornell Hoffman,1931,23,23
