Label,Unnamed: 1,source,Target,Type,Weight
1894,MET,1,0,Directed,1
1940,MET,2,0,Directed,1
1902,MET,3,0,Directed,1
1909,MET,4,0,Directed,1
1906,MET,5,0,Directed,1
1908,MET,6,0,Directed,1
1911,MET,7,0,Directed,1
1910,MET,8,0,Directed,1
1907,MET,9,0,Directed,1
1914,MET,10,0,Directed,1
1913,MET,11,0,Directed,1
1904,MET,12,0,Directed,1
1916,MET,13,0,Directed,1
1905,MET,14,0,Directed,1
1917,MET,15,0,Directed,1
1915,MET,16,0,Directed,1
1918,MET,17,0,Directed,1
1919,MET,18,0,Directed,1
1934,MET,19,0,Directed,1
1933,MET,20,0,Directed,1
1930,MET,21,0,Directed,1
1928,MET,22,0,Directed,1
1969,MET,23,0,Directed,1
1965,MET,24,0,Directed,1
1950,MET,25,0,Directed,1
1952,MET,26,0,Directed,1
1949,MET,27,0,Directed,1
1900,MET,28,0,Directed,1
1960,MET,29,0,Directed,1
1946,MET,30,0,Directed,1
1948,MET,31,0,Directed,1
1944,MET,32,0,Directed,1
1929,MET,33,0,Directed,1
1953,MET,34,0,Directed,1
1945,MET,35,0,Directed,1
1955,MET,36,0,Directed,1
1920,MET,37,0,Directed,1
1970,MET,38,0,Directed,1
1924,MET,39,0,Directed,1
1921,MET,40,0,Directed,1
1947,MET,41,0,Directed,1
1935,MET,42,0,Directed,1
1964,MET,43,0,Directed,1
1966,MET,44,0,Directed,1
1971,MET,45,0,Directed,1
1939,MET,46,0,Directed,1
1958,MET,47,0,Directed,1
1959,MET,48,0,Directed,1
1957,MET,49,0,Directed,1
1961,MET,50,0,Directed,1
1963,MET,51,0,Directed,1
1938,MET,52,0,Directed,1
1936,MET,53,0,Directed,1
1937,MET,54,0,Directed,1
1943,MET,55,0,Directed,1
1951,MET,56,0,Directed,1
1931,MET,57,0,Directed,1
1973,MET,58,0,Directed,1
1972,MET,59,0,Directed,1
1932,MET,60,0,Directed,1
1962,MET,61,0,Directed,1
1954,MET,62,0,Directed,1
1967,MET,63,0,Directed,1
1974,MET,64,0,Directed,1
1883,MET,65,0,Directed,1
1927,MET,66,0,Directed,1
1926,MET,67,0,Directed,1
1968,MET,68,0,Directed,1
1975,MET,69,0,Directed,1
1976,MET,70,0,Directed,1
1941,MET,71,0,Directed,1
1977,MET,72,0,Directed,1
1942,MET,73,0,Directed,1
1978,MET,74,0,Directed,1
1956,MET,75,0,Directed,1
1979,MET,76,0,Directed,1
1923,MET,77,0,Directed,1
1922,MET,78,0,Directed,1
1912,MET,79,0,Directed,1
1980,MET,80,0,Directed,1
1981,MET,81,0,Directed,1
1925,MET,82,0,Directed,1
1982,MET,83,0,Directed,1
1983,MET,84,0,Directed,1
1984,MET,85,0,Directed,1
1893,MET,86,0,Directed,1
1985,MET,87,0,Directed,1
1986,MET,88,0,Directed,1
1886,MET,89,0,Directed,1
1987,MET,90,0,Directed,1
1899,MET,91,0,Directed,1
1988,MET,92,0,Directed,1
1989,MET,93,0,Directed,1
1990,MET,94,0,Directed,1
1991,MET,95,0,Directed,1
1903,MET,96,0,Directed,1
1992,MET,97,0,Directed,1
1993,MET,98,0,Directed,1
1994,MET,99,0,Directed,1
1995,MET,100,0,Directed,1
1996,MET,101,0,Directed,1
1997,MET,102,0,Directed,1
1998,MET,103,0,Directed,1
1875,MET,104,0,Directed,1
1872,MET,105,0,Directed,1
1884,MET,106,0,Directed,1
1877,MET,107,0,Directed,1
1898,MET,108,0,Directed,1
1878,MET,109,0,Directed,1
1881,MET,110,0,Directed,1
1901,MET,111,0,Directed,1
1999,MET,112,0,Directed,1
2000,MET,113,0,Directed,1
2001,MET,114,0,Directed,1
2002,MET,115,0,Directed,1
2003,MET,116,0,Directed,1
2005,MET,117,0,Directed,1
2004,MET,118,0,Directed,1
2006,MET,119,0,Directed,1
1895,MET,120,0,Directed,1
2007,MET,121,0,Directed,1
2008,MET,122,0,Directed,1
2009,MET,123,0,Directed,1
2010,MET,124,0,Directed,1
2011,MET,125,0,Directed,1
2012,MET,126,0,Directed,1
2013,MET,127,0,Directed,1
1894,Whitney,1,10000,Directed,1
1940,Whitney,2,10000,Directed,1
1902,Whitney,3,10000,Directed,1
1909,Whitney,4,10000,Directed,1
1906,Whitney,5,10000,Directed,1
1908,Whitney,6,10000,Directed,1
1911,Whitney,7,10000,Directed,1
1910,Whitney,8,10000,Directed,1
1907,Whitney,9,10000,Directed,1
1914,Whitney,10,10000,Directed,1
1913,Whitney,11,10000,Directed,1
1904,Whitney,12,10000,Directed,1
1916,Whitney,13,10000,Directed,1
1905,Whitney,14,10000,Directed,1
1917,Whitney,15,10000,Directed,1
1915,Whitney,16,10000,Directed,1
1918,Whitney,17,10000,Directed,1
1919,Whitney,18,10000,Directed,1
1934,Whitney,19,10000,Directed,1
1933,Whitney,20,10000,Directed,1
1930,Whitney,21,10000,Directed,1
1928,Whitney,22,10000,Directed,1
1969,Whitney,23,10000,Directed,1
1965,Whitney,24,10000,Directed,1
1965,Whitney,24,10000,Directed,1
1950,Whitney,25,10000,Directed,1
1952,Whitney,26,10000,Directed,1
1949,Whitney,27,10000,Directed,1
1900,Whitney,28,10000,Directed,1
1960,Whitney,29,10000,Directed,1
1946,Whitney,30,10000,Directed,1
1948,Whitney,31,10000,Directed,1
1944,Whitney,32,10000,Directed,1
1929,Whitney,33,10000,Directed,1
1953,Whitney,34,10000,Directed,1
1945,Whitney,35,10000,Directed,1
1945,Whitney,35,10000,Directed,1
1955,Whitney,36,10000,Directed,1
1920,Whitney,37,10000,Directed,1
1970,Whitney,38,10000,Directed,1
1924,Whitney,39,10000,Directed,1
1921,Whitney,40,10000,Directed,1
1947,Whitney,41,10000,Directed,1
1935,Whitney,42,10000,Directed,1
1964,Whitney,43,10000,Directed,1
1966,Whitney,44,10000,Directed,1
1971,Whitney,45,10000,Directed,1
1939,Whitney,46,10000,Directed,1
1958,Whitney,47,10000,Directed,1
