Artist,Year
George E. Ohr|Biloxi Art Pottery,1894
Edward Marshall Boehm,1940
Edgar Walter,1902
F Ziegler,1909
Mary Abastenia St. Leger Eberle,1906
Chester Beach,1909
Chester Beach,1909
George Bellows,1908
Joseph Maxwell Miller,1911
Paul Dougherty,1910
Eugene Speicher,1907
Edward J. Steichen,1910
Paul Manship,1914
Jonas Lie,1913
Mahonri Mackintosh Young,1904
Paul Manship,1909
Maurice Sterne,1913
Maurice Sterne,1914
Maurice Sterne,1913
Gerald Thayer,1907
Paul Manship,1914
Paul Dougherty,1916
Paul Dougherty,1916
Rockwell Kent,1907
Albert Laessle,1905
Charles Shepard Chapman,1917
Mahonri Mackintosh Young,1915
Harry Dickinson Thrasher,1909
Malvina Cornell Hoffman,1918
Paul Manship,1918
Julio Kilenyi,1919
Julio Kilenyi,1919
Margaret Hoard,1914
John Henry Bradley Storrs,1934
Elie Nadelman,1933
Elie Nadelman,1930
Elie Nadelman,1930
Elie Nadelman,1930
Elie Nadelman,1930
Elie Nadelman,1930
Elie Nadelman,1930
Elie Nadelman,1930
Elie Nadelman,1930
Elie Nadelman,1930
Elie Nadelman,1930
Elie Nadelman,1930
Elie Nadelman,1930
Elie Nadelman,1930
Josef Albers,1928
Romare Bearden,1969
Aristocrat Embroidery,1969
Eugene Speicher,1913
Eugene Speicher,1911
Richard Hunt,1965
Theodoros Stamos,1969
Anni Albers,1950
Anni Albers,1952
Anni Albers,1940
Anni Albers,1949
Anni Albers,1930
Anni Albers,1949
Anni Albers,1900
Anni Albers,1960
Anni Albers,1949
Anni Albers,1946
Anni Albers,1948
Anni Albers,1950
Anni Albers,1944
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1950
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1929
Anni Albers,1950
Anni Albers,1900
Anni Albers,1933
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1953
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1929
Anni Albers,1929
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
